FirstOne,SecondOne,ThirdOne,Name,Link,Headline
Yuanqi Wu,Na Jiao,Lixin Zhu,Yuanqi Wu,https://www.nature.com/articles/s41467-021-23265-y,Identification of microbial markers across populations in early detection of colorectal cancer
Ning Ma,Yi-Kang Wang,Dong Xie,Ning Ma,https://www.nature.com/articles/s41467-021-23285-8,PPDPF alleviates hepatic steatosis through inhibition of mTOR signaling
Meiou Dai,Gang Yan,Jean-Jacques Lebrun,Meiou Dai,https://www.nature.com/articles/s41467-021-23316-4,In vivo genome-wide CRISPR screen reveals breast cancer vulnerabilities and synergistic mTOR/Hippo targeted combination therapy
Stéphane Le Vu,Gabrielle Jones,Harold Noel,Stéphane Le Vu,https://www.nature.com/articles/s41467-021-23233-6,Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance
Xinlei Mi,Baiming Zou,Jianhua Hu,Xinlei Mi,https://www.nature.com/articles/s41467-021-22756-2,Permutation-based identification of important biomarkers for complex diseases via machine learning models
Seula Shin,Hao Zhou,Jian Hu,Seula Shin,https://www.nature.com/articles/s41467-021-22782-0,Qki activates Srebp2-mediated cholesterol biosynthesis for maintenance of eye lens transparency
Soo-Yeon Park,Jung Yeon Hong,Ho-Geun Yoon,Soo-Yeon Park,https://www.nature.com/articles/s41467-021-23277-8,Club cell-specific role of programmed cell death 5 in pulmonary fibrosis
Kaituo Wang,Robert Dagil,Ali Salanti,Kaituo Wang,https://www.nature.com/articles/s41467-021-23254-1,Cryo-EM reveals the architecture of placental malaria VAR2CSA and provides molecular insight into chondroitin sulfate binding
Li-Qiu Wang,Tao Liu,Jun Cui,Li-Qiu Wang,https://www.nature.com/articles/s41467-021-23201-0,Perfluoroalkyl substance pollutants activate the innate immune system through the AIM2 inflammasome
Chi Zhang,Ziling Zeng,Kanyi Pu,Chi Zhang,https://www.nature.com/articles/s41467-021-23194-w,Semiconducting polymer nano-PROTACs for activatable photo-immunometabolic cancer therapy
Chi Zhang,Ziling Zeng,Kanyi Pu,Chi Zhang,https://www.nature.com/articles/s41467-021-23194-w,Semiconducting polymer nano-PROTACs for activatable photo-immunometabolic cancer therapy
Chao Zhang,Cong Xu,Zhong Huang,Chao Zhang,https://www.nature.com/articles/s41467-021-23199-5,Functional and structural characterization of a two-MAb cocktail for delayed treatment of enterovirus D68 infections
Shaojun Zhang,Vivian Changying Jiang,Michael Wang,Shaojun Zhang,https://www.nature.com/articles/s41467-021-22872-z,Longitudinal single-cell profiling reveals molecular heterogeneity and tumor-immune evolution in refractory mantle cell lymphoma
Hengwei Jin,Kuo Liu,Bin Zhou,Hengwei Jin,https://www.nature.com/articles/s41467-021-23197-7,Genetic fate-mapping reveals surface accumulation but not deep organ invasion of pleural and peritoneal cavity macrophages following injury
Wei Qiao,Karen H. M. Wong,Kelvin W. K. Yeung,Wei Qiao,https://www.nature.com/articles/s41467-021-23005-2,TRPM7 kinase-mediated immunomodulation in macrophage plays a central role in magnesium ion-induced bone regeneration
